minimo,minimo_peso,mean_abs,mean_abs_peso,kurtosis,kurtosis_peso,media,media_peso,rms,rms_peso,desvio_padrao,desvio_padrao_peso,pico_a_pico,pico_a_pico_peso,skewness,skewness_peso,energia,energia_peso,variancia,variancia_peso,segmento,arquivo_original,condicao,label
-0.19860184615384616,1.0,0.07404730104463438,0.95,-0.5671320411656615,0.9,0.009149887939221273,0.85,0.0877616873243257,0.8,0.08728340800353984,0.75,0.41639630769230773,0.7,-0.2618824958479912,0.65,1.8716136441690887,0.6,0.007618393312712403,0.55,segmento_1,segmento_1.csv,97_Normal_0,0
-0.119328,1.0,0.04964105674653216,0.95,-0.40951318616663857,0.9,0.012230504413619168,0.85,0.06314991935427511,0.8,0.061954233723288774,0.75,0.2814221538461539,0.7,0.3897103469717089,0.65,0.9730506047261537,0.6,0.0038383270762398923,0.55,segmento_10,segmento_10.csv,97_Normal_0,0
-0.15291507692307693,1.0,0.05885433291298864,0.95,-0.38810220915905935,0.9,0.013648063051702398,0.85,0.07166667460730122,0.8,0.07035511796739133,0.75,0.324396923076923,0.7,-0.19871301238592237,0.65,1.2532113888215857,0.6,0.00494984262420555,0.55,segmento_100,segmento_100.csv,97_Normal_0,0
-0.1635544615384615,1.0,0.0588209534662868,0.95,-0.42603339696411124,0.9,0.008789318138651473,0.85,0.0710153566823134,0.8,0.0704693463242974,0.75,0.3237710769230769,0.7,-0.29591160890591056,0.65,1.2254929549860354,0.6,0.0049659287713737675,0.55,segmento_1000,segmento_1000.csv,97_Normal_0,0
-0.17002153846153847,1.0,0.06556165952080707,0.95,-0.5006127096207424,0.9,0.012732378310214376,0.85,0.07985862256944158,0.8,0.07883708607789933,0.75,0.37425600000000003,0.7,-0.05349129577129388,0.65,1.55608550208,0.6,0.006215286141254108,0.55,segmento_101,segmento_101.csv,97_Normal_0,0
-0.13393107692307693,1.0,0.05410063808322824,0.95,-0.5201749014112198,0.9,0.0074887793190416135,0.85,0.06665313720201399,0.8,0.0662311020833958,0.75,0.3081249230769231,0.7,0.2608614094000966,0.65,1.0840043305244023,0.6,0.004386558883181196,0.55,segmento_102,segmento_102.csv,97_Normal_0,0
-0.19588984615384614,1.0,0.06983314501891551,0.95,-0.8139341091158188,0.9,0.0053265321563682215,0.85,0.0828070145770012,0.8,0.08263552334403688,0.75,0.390528,0.7,-0.12919176894809786,0.65,1.6731084058099879,0.6,0.0068286297183428645,0.55,segmento_103,segmento_103.csv,97_Normal_0,0
-0.1504116923076923,1.0,0.05446400504413619,0.95,-0.3314284370793734,0.9,0.01854282976040353,0.85,0.06586555367699586,0.8,0.06320153974116387,0.75,0.3170953846153846,0.7,-0.3222770080242649,0.65,1.0585381633272424,0.6,0.003994434625653916,0.55,segmento_104,segmento_104.csv,97_Normal_0,0
-0.17419384615384614,1.0,0.05450675409836066,0.95,0.08424348133172233,0.9,0.012836686002522071,0.85,0.06940138011368896,0.8,0.06820389324780071,0.75,0.3375396923076923,0.7,-0.2488646909041002,0.65,1.1752385810510768,0.6,0.0046517710541573954,0.55,segmento_105,segmento_105.csv,97_Normal_0,0
-0.20819815384615384,1.0,0.06505893064312739,0.95,0.12082993324007729,0.9,0.00984767213114754,0.85,0.08372151428142782,0.8,0.08314033501960852,0.75,0.4266184615384615,0.7,-0.11146177677221539,0.65,1.7102672366723786,0.6,0.006912315307172742,0.55,segmento_106,segmento_106.csv,97_Normal_0,0
